sample_id,fold,sample_index,degradation,strength,target_side,vif
fold2_0880,2,880,defocus,0.0,,1
fold2_2119,2,2119,defocus,0.0,,1
fold2_1263,2,1263,defocus,0.0,,1
fold3_2310,3,2310,defocus,0.0,,1
fold3_1332,3,1332,defocus,0.0,,1
fold1_2361,1,2361,defocus,0.0,,1
fold2_2313,2,2313,defocus,0.0,,1
fold1_2402,1,2402,defocus,0.0,,1
fold2_1948,2,1948,defocus,0.0,,1
fold1_1277,1,1277,defocus,0.0,,1
fold2_2338,2,2338,defocus,0.0,,1
fold2_1335,2,1335,defocus,0.0,,1
fold2_0848,2,848,defocus,0.0,,1
fold1_2188,1,2188,defocus,0.0,,1
fold3_1308,3,1308,defocus,0.0,,1
fold2_0901,2,901,defocus,0.0,,1
fold1_0890,1,890,defocus,0.0,,1
fold2_1008,2,1008,defocus,0.0,,1
fold2_1920,2,1920,defocus,0.0,,1
fold1_2141,1,2141,defocus,0.0,,1
fold1_1159,1,1159,defocus,0.0,,1
fold2_2331,2,2331,defocus,0.0,,1
fold2_1449,2,1449,defocus,0.0,,1
fold2_1289,2,1289,defocus,0.0,,1
fold2_1215,2,1215,defocus,0.0,,1
fold3_1154,3,1154,defocus,0.0,,1
fold3_0200,3,200,defocus,0.0,,1
fold1_0941,1,941,defocus,0.0,,1
fold1_1851,1,1851,defocus,0.0,,1
fold1_2478,1,2478,defocus,0.0,,1
fold2_1209,2,1209,defocus,0.0,,1
fold2_0906,2,906,defocus,0.0,,1
fold2_1301,2,1301,defocus,0.0,,1
fold1_1652,1,1652,defocus,0.0,,1
fold1_2475,1,2475,defocus,0.0,,1
fold3_2517,3,2517,defocus,0.0,,1
fold3_2201,3,2201,defocus,0.0,,1
fold2_0859,2,859,defocus,0.0,,1
fold1_1334,1,1334,defocus,0.0,,1
fold3_2710,3,2710,defocus,0.0,,1
fold2_2369,2,2369,defocus,0.0,,1
fold1_0998,1,998,defocus,0.0,,1
fold1_0064,1,64,defocus,0.0,,1
fold1_2136,1,2136,defocus,0.0,,1
fold3_1134,3,1134,defocus,0.0,,1
fold3_1493,3,1493,defocus,0.0,,1
fold2_0907,2,907,defocus,0.0,,1
fold1_2014,1,2014,defocus,0.0,,1
fold2_0575,2,575,defocus,0.0,,1
fold3_2541,3,2541,defocus,0.0,,1
fold3_1990,3,1990,defocus,0.0,,1
fold1_2372,1,2372,defocus,0.0,,1
fold3_1043,3,1043,defocus,0.0,,1
fold2_1405,2,1405,defocus,0.0,,1
fold3_2235,3,2235,defocus,0.0,,1
fold3_1477,3,1477,defocus,0.0,,1
fold2_2321,2,2321,defocus,0.0,,1
fold2_0535,2,535,defocus,0.0,,1
fold2_0006,2,6,defocus,0.0,,1
fold1_1212,1,1212,defocus,0.0,,1
fold3_1982,3,1982,defocus,0.0,,1
fold1_2321,1,2321,defocus,0.0,,1
fold1_2502,1,2502,defocus,0.0,,1
fold1_2293,1,2293,defocus,0.0,,1
fold1_0973,1,973,defocus,0.0,,1
fold3_2075,3,2075,defocus,0.0,,1
fold1_1767,1,1767,defocus,0.0,,1
fold2_0741,2,741,defocus,0.0,,1
fold3_2184,3,2184,defocus,0.0,,1
fold1_2083,1,2083,defocus,0.0,,1
fold1_0183,1,183,defocus,0.0,,1
fold3_2549,3,2549,defocus,0.0,,1
fold1_2533,1,2533,defocus,0.0,,1
fold1_2582,1,2582,defocus,0.0,,1
fold3_2418,3,2418,defocus,0.0,,1
fold3_2095,3,2095,defocus,0.0,,1
fold1_1185,1,1185,defocus,0.0,,1
fold3_1335,3,1335,defocus,0.0,,1
fold2_1141,2,1141,defocus,0.0,,1
fold3_1028,3,1028,defocus,0.0,,1
fold2_2050,2,2050,defocus,0.0,,1
fold3_1238,3,1238,defocus,0.0,,1
fold1_1326,1,1326,defocus,0.0,,1
fold3_0727,3,727,defocus,0.0,,1
fold1_0026,1,26,defocus,0.0,,1
fold1_1525,1,1525,defocus,0.0,,1
fold3_2085,3,2085,defocus,0.0,,1
fold1_2419,1,2419,defocus,0.0,,1
fold3_2621,3,2621,defocus,0.0,,1
fold2_2297,2,2297,defocus,0.0,,1
fold1_1040,1,1040,defocus,0.0,,1
fold2_1498,2,1498,defocus,0.0,,1
fold1_1803,1,1803,defocus,0.0,,1
fold3_2598,3,2598,defocus,0.0,,1
fold3_1079,3,1079,defocus,0.0,,1
fold1_2260,1,2260,defocus,0.0,,1
fold2_2423,2,2423,defocus,0.0,,1
fold3_2196,3,2196,defocus,0.0,,1
fold1_0387,1,387,defocus,0.0,,1
fold3_2100,3,2100,defocus,0.0,,1
fold2_1814,2,1814,defocus,0.0,,1
fold1_2543,1,2543,defocus,0.0,,1
fold2_1144,2,1144,defocus,0.0,,1
fold3_2526,3,2526,defocus,0.0,,1
fold2_1578,2,1578,defocus,0.0,,1
fold2_2255,2,2255,defocus,0.0,,1
fold3_1198,3,1198,defocus,0.0,,1
fold2_2072,2,2072,defocus,0.0,,1
fold1_1354,1,1354,defocus,0.0,,1
fold2_1467,2,1467,defocus,0.0,,1
fold1_1437,1,1437,defocus,0.0,,1
fold2_1974,2,1974,defocus,0.0,,1
fold1_2265,1,2265,defocus,0.0,,1
fold3_1032,3,1032,defocus,0.0,,1
fold3_1936,3,1936,defocus,0.0,,1
fold1_2549,1,2549,defocus,0.0,,1
fold1_1117,1,1117,defocus,0.0,,1
fold3_0732,3,732,defocus,0.0,,1
fold3_2442,3,2442,defocus,0.0,,1
fold1_2266,1,2266,defocus,0.0,,1
fold3_1255,3,1255,defocus,0.0,,1
fold1_1355,1,1355,defocus,0.0,,1
fold2_1455,2,1455,defocus,0.0,,1
fold1_0893,1,893,defocus,0.0,,1
fold2_1572,2,1572,defocus,0.0,,1
fold2_2032,2,2032,defocus,0.0,,1
fold1_0903,1,903,defocus,0.0,,1
fold1_2259,1,2259,defocus,0.0,,1
fold1_1530,1,1530,defocus,0.0,,1
fold1_0869,1,869,defocus,0.0,,1
fold1_2350,1,2350,defocus,0.0,,1
fold2_1226,2,1226,defocus,0.0,,1
fold1_1191,1,1191,defocus,0.0,,1
fold2_2258,2,2258,defocus,0.0,,1
fold2_1893,2,1893,defocus,0.0,,1
fold2_2024,2,2024,defocus,0.0,,1
fold2_2106,2,2106,defocus,0.0,,1
fold3_0992,3,992,defocus,0.0,,1
fold2_1867,2,1867,defocus,0.0,,1
fold2_2111,2,2111,defocus,0.0,,1
fold3_0030,3,30,defocus,0.0,,1
fold1_0810,1,810,defocus,0.0,,1
fold3_0808,3,808,defocus,0.0,,1
fold3_1085,3,1085,defocus,0.0,,1
fold2_1858,2,1858,defocus,0.0,,1
fold2_2073,2,2073,defocus,0.0,,1
fold3_2355,3,2355,defocus,0.0,,1
fold2_0862,2,862,defocus,0.0,,1
fold3_2083,3,2083,defocus,0.0,,1
fold3_0740,3,740,defocus,0.0,,1
fold3_2281,3,2281,defocus,0.0,,1
fold2_0441,2,441,defocus,0.0,,1
fold3_2046,3,2046,defocus,0.0,,1
fold2_1139,2,1139,defocus,0.0,,1
fold3_2352,3,2352,defocus,0.0,,1
fold3_1970,3,1970,defocus,0.0,,1
fold2_0619,2,619,defocus,0.0,,1
fold1_1124,1,1124,defocus,0.0,,1
fold3_0874,3,874,defocus,0.0,,1
fold1_2286,1,2286,defocus,0.0,,1
fold1_0787,1,787,defocus,0.0,,1
fold1_1172,1,1172,defocus,0.0,,1
fold3_2007,3,2007,defocus,0.0,,1
fold1_1138,1,1138,defocus,0.0,,1
fold3_2041,3,2041,defocus,0.0,,1
fold1_1497,1,1497,defocus,0.0,,1
fold3_0893,3,893,defocus,0.0,,1
fold3_1287,3,1287,defocus,0.0,,1
fold2_1227,2,1227,defocus,0.0,,1
fold2_1486,2,1486,defocus,0.0,,1
fold3_2585,3,2585,defocus,0.0,,1
fold3_2451,3,2451,defocus,0.0,,1
fold1_1217,1,1217,defocus,0.0,,1
fold1_2590,1,2590,defocus,0.0,,1
fold3_1557,3,1557,defocus,0.0,,1
fold3_1564,3,1564,defocus,0.0,,1
fold3_1100,3,1100,defocus,0.0,,1
fold3_0829,3,829,defocus,0.0,,1
fold3_0872,3,872,defocus,0.0,,1
fold3_2612,3,2612,defocus,0.0,,1
fold3_2076,3,2076,defocus,0.0,,1
fold3_2231,3,2231,defocus,0.0,,1
fold1_1609,1,1609,defocus,0.0,,1
fold1_2183,1,2183,defocus,0.0,,1
fold2_0888,2,888,defocus,0.0,,1
fold1_1035,1,1035,defocus,0.0,,1
fold2_0973,2,973,defocus,0.0,,1
fold3_0990,3,990,defocus,0.0,,1
fold3_2226,3,2226,defocus,0.0,,1
fold3_2480,3,2480,defocus,0.0,,1
fold2_1474,2,1474,defocus,0.0,,1
fold2_2237,2,2237,defocus,0.0,,1
fold3_1313,3,1313,defocus,0.0,,1
fold1_0446,1,446,defocus,0.0,,1
fold3_1920,3,1920,defocus,0.0,,1
fold1_2171,1,2171,defocus,0.0,,1
fold2_2231,2,2231,defocus,0.0,,1
fold2_1436,2,1436,defocus,0.0,,1
fold2_2389,2,2389,defocus,0.0,,1
fold2_2387,2,2387,defocus,0.0,,1
fold3_2539,3,2539,defocus,0.0,,1
fold1_1429,1,1429,defocus,0.0,,1
fold3_2501,3,2501,defocus,0.0,,1
fold3_1487,3,1487,defocus,0.0,,1
fold3_1473,3,1473,defocus,0.0,,1
fold3_0957,3,957,defocus,0.0,,1
fold3_1343,3,1343,defocus,0.0,,1
fold1_2568,1,2568,defocus,0.0,,1
fold3_1165,3,1165,defocus,0.0,,1
fold2_1488,2,1488,defocus,0.0,,1
fold1_2114,1,2114,defocus,0.0,,1
fold3_1518,3,1518,defocus,0.0,,1
fold2_1495,2,1495,defocus,0.0,,1
fold3_2293,3,2293,defocus,0.0,,1
fold1_2471,1,2471,defocus,0.0,,1
fold2_0864,2,864,defocus,0.0,,1
fold2_0809,2,809,defocus,0.0,,1
fold2_1014,2,1014,defocus,0.0,,1
fold2_2371,2,2371,defocus,0.0,,1
fold1_2342,1,2342,defocus,0.0,,1
fold2_2173,2,2173,defocus,0.0,,1
fold2_2029,2,2029,defocus,0.0,,1
fold2_0839,2,839,defocus,0.0,,1
fold3_1607,3,1607,defocus,0.0,,1
fold1_2288,1,2288,defocus,0.0,,1
fold1_1470,1,1470,defocus,0.0,,1
fold1_2279,1,2279,defocus,0.0,,1
fold2_2363,2,2363,defocus,0.0,,1
fold2_2179,2,2179,defocus,0.0,,1
fold3_1263,3,1263,defocus,0.0,,1
fold3_1455,3,1455,defocus,0.0,,1
fold3_2426,3,2426,defocus,0.0,,1
fold1_1538,1,1538,defocus,0.0,,1
fold2_2354,2,2354,defocus,0.0,,1
fold3_2171,3,2171,defocus,0.0,,1
fold2_1924,2,1924,defocus,0.0,,1
fold3_1270,3,1270,defocus,0.0,,1
fold1_1539,1,1539,defocus,0.0,,1
fold1_2479,1,2479,defocus,0.0,,1
fold3_0877,3,877,defocus,0.0,,1
fold3_1558,3,1558,defocus,0.0,,1
fold2_1458,2,1458,defocus,0.0,,1
fold2_2053,2,2053,defocus,0.0,,1
fold2_2213,2,2213,defocus,0.0,,1
fold3_2370,3,2370,defocus,0.0,,1
fold1_2202,1,2202,defocus,0.0,,1
fold2_0895,2,895,defocus,0.0,,1
fold2_1222,2,1222,defocus,0.0,,1
fold1_1443,1,1443,defocus,0.0,,1
fold3_2238,3,2238,defocus,0.0,,1
