step,loss,batch_fetch_seconds,wall_seconds,gpu_milliseconds,source_images,source_images_per_second,context_tokens,target_tokens_per_block
1,0.06604519486427307,0.0002128039486706257,0.10235404700506479,102.01427459716797,128,1250.5612014898265,11.0,12.0
2,0.07095662504434586,0.0001529600122012198,0.09859855100512505,98.34575653076172,128,1298.1935200381058,11.0,12.0
3,0.07470472157001495,0.00019386695930734277,0.10081158397952095,100.51283264160156,128,1269.6953559027716,11.0,12.0
4,0.09020718187093735,0.00015716796042397618,0.10065271297935396,100.42002868652344,128,1271.6994526144124,11.0,12.0
5,0.07561584562063217,9.42990300245583e-05,0.09988009801600128,99.71234893798828,128,1281.536587794435,13.0,9.0
6,0.06334596127271652,0.00017615396063774824,0.1019311060081236,101.6388168334961,128,1255.7501337206993,12.0,12.0
7,0.08052852749824524,0.00028175400802865624,0.10062490002019331,100.2040023803711,128,1272.0509533357358,12.0,12.0
8,0.06178370863199234,7.537298370152712e-05,0.1127249890123494,112.52336120605469,128,1135.506874930608,16.0,9.0
9,0.06273261457681656,0.00016515300376340747,0.10149344603996724,101.24269104003906,128,1261.1651785830063,12.0,12.0
10,0.10847565531730652,8.128397166728973e-05,0.09943430300336331,99.24470520019531,128,1287.2821162699804,11.0,12.0
11,0.11737731844186783,5.446298746392131e-05,0.09888572397176176,98.75299072265625,128,1294.4234502095796,13.0,9.0
12,0.08971188962459564,6.298901280388236e-05,0.1059955470263958,105.87561798095703,128,1207.597900014842,17.0,9.0
13,0.08679842948913574,0.0001230929628945887,0.10314719995949417,102.95366668701172,128,1240.944980089285,13.0,9.0
14,0.04615844786167145,7.654499495401978e-05,0.10975420899922028,109.54796600341797,128,1166.2422896320024,15.0,9.0
15,0.10578490793704987,0.00018031196668744087,0.09926832898054272,99.00579071044922,128,1289.4344179510556,13.0,9.0
16,0.07893906533718109,0.00018788600573316216,0.10101029998622835,100.7468490600586,128,1267.1975037936863,12.0,12.0
17,0.08245394378900528,9.261601371690631e-05,0.09971869201399386,99.53775787353516,128,1283.6108999708633,13.0,9.0
18,0.1098351776599884,0.0004991059540770948,0.10765059298137203,106.9688949584961,128,1189.0320011720628,17.0,9.0
19,0.07200431823730469,7.041398203000426e-05,0.10121108999010175,101.07135772705078,128,1264.6835441898527,11.0,12.0
20,0.0704386979341507,0.00019738497212529182,0.09971477498766035,99.43516540527344,128,1283.6613231674035,12.0,12.0
21,0.0765833854675293,0.0001907820114865899,0.10062983899842948,100.34889221191406,128,1271.9885202439575,11.0,12.0
22,0.0645202174782753,0.00015301001258194447,0.10068336001131684,100.45021057128906,128,1271.3123597147808,11.0,12.0
23,0.05630391836166382,0.00028238497907295823,0.11735345900524408,116.87974548339844,128,1090.7220041488524,15.0,9.0
24,0.07084391266107559,0.0001730980002321303,0.10069025302072987,100.42205047607422,128,1271.2253287678964,11.0,12.0
25,0.044304780662059784,0.00017289799870923162,0.10766255500493571,107.39596557617188,128,1188.899891834556,15.0,9.0
26,0.05120556056499481,0.00022046704543754458,0.10985367704415694,109.56950378417969,128,1165.1863045835867,15.0,9.0
27,0.059570398181676865,0.00012568902457132936,0.09813186503015459,97.91455841064453,128,1304.3673424597337,13.0,9.0
28,0.07656640559434891,8.323800284415483e-05,0.10184324800502509,101.6424331665039,128,1256.8334426420129,13.0,9.0
29,0.052762288600206375,9.423802839592099e-05,0.11321985599352047,113.05382537841797,128,1130.5437449710712,16.0,9.0
30,0.055292632430791855,9.264604886993766e-05,0.10113786102738231,100.94771575927734,128,1265.5992394909852,12.0,12.0
31,0.06319177895784378,0.00015069602522999048,0.10207415500190109,101.8361587524414,128,1253.9902975206217,12.0,12.0
32,0.055148765444755554,4.009599797427654e-05,0.10946056200191379,109.35897827148438,128,1169.370937431895,16.0,9.0
33,0.03414234146475792,8.779700146988034e-05,0.11363435199018568,113.4758071899414,128,1126.419940433638,16.0,9.0
34,0.05870284140110016,8.196599083021283e-05,0.10911598999518901,108.94678497314453,128,1173.0636362795553,15.0,9.0
35,0.04503500089049339,8.884904673323035e-05,0.10006111103575677,99.89020538330078,128,1279.2182564738791,11.0,12.0
36,0.06810100376605988,4.5455992221832275e-05,0.09865315299248323,98.55465698242188,128,1297.4750032546128,13.0,9.0
37,0.03118858113884926,2.496695378795266e-05,0.09752927196677774,97.44515228271484,128,1312.4264891836963,13.0,9.0
38,0.03637732192873955,9.927799692377448e-05,0.10106431203894317,100.8918685913086,128,1266.5202722666106,13.0,9.0
39,0.03033352829515934,5.4172996897250414e-05,0.10396494797896594,103.83411407470703,128,1231.1841874426445,13.0,12.0
40,0.04539525881409645,8.887902367860079e-05,0.1005164940143004,100.35894775390625,128,1273.4228472173884,13.0,9.0
41,0.018579095602035522,2.9766990337520838e-05,0.10043902700999752,100.35903930664062,128,1274.4050177552906,11.0,12.0
42,0.027063926681876183,0.093995836970862,0.20810488797724247,113.8373794555664,128,615.0744523309687,15.0,9.0
43,0.03620179370045662,0.00015732803149148822,0.11268239701166749,112.45382690429688,128,1135.9360769255422,16.0,9.0
44,0.021063348278403282,0.0001893889857456088,0.10127082298276946,101.00601959228516,128,1263.9375906106573,12.0,12.0
45,0.027368130162358284,0.00016401003813371062,0.09852746402611956,98.28163146972656,128,1299.1301589378907,13.0,9.0
46,0.017555762082338333,0.00019741401774808764,0.10147246398264542,101.18057250976562,128,1261.4259571137595,11.0,12.0
47,0.014982212334871292,0.0001719860010780394,0.10108143399702385,100.83843231201172,128,1266.3057392297058,13.0,9.0
48,0.009246323257684708,0.00019270495977252722,0.09760566696058959,97.32134246826172,128,1311.3992659020792,11.0,12.0
49,0.017429465427994728,0.00019150297157466412,0.10054984601447359,100.26934051513672,128,1273.0004577190016,13.0,9.0
50,0.016200155019760132,8.194497786462307e-05,0.09802314796252176,97.8548812866211,128,1305.8140108797527,12.0,12.0
51,0.008967356756329536,0.00014727999223396182,0.10127839702181518,101.04425811767578,128,1263.8430678600594,11.0,12.0
52,0.014694073237478733,0.00016698602121323347,0.10043701203539968,100.1694107055664,128,1274.4305849609063,11.0,12.0
53,0.011702420189976692,6.821902934461832e-05,0.10024863498983905,100.05827331542969,128,1276.8253653825188,11.0,12.0
54,0.0218802597373724,0.00015894102398306131,0.10044240299612284,100.20118713378906,128,1274.362183518657,11.0,12.0
55,0.008310622535645962,7.042399374768138e-05,0.0967056619701907,96.54668426513672,128,1323.6039895932433,12.0,12.0
56,0.010198739357292652,0.00020994700025767088,0.10197167005389929,101.66307067871094,128,1255.25059982192,12.0,12.0
57,0.011178838089108467,0.00017263699555769563,0.10043058998417109,100.1719970703125,128,1274.5120786423154,11.0,12.0
58,0.011400293558835983,0.00012634904123842716,0.09943450201535597,99.22032165527344,128,1287.2795398546127,11.0,12.0
59,0.010317547246813774,7.669598562642932e-05,0.100304251012858,100.14857482910156,128,1276.1173998855909,11.0,12.0
60,0.008814158849418163,4.5406981371343136e-05,0.10058707697317004,100.4776611328125,128,1272.5292736575088,12.0,12.0
61,0.012041319161653519,6.704701809212565e-05,0.10077786800684407,100.59385681152344,128,1270.1201417686987,13.0,9.0
62,0.015244334936141968,0.0002097279648296535,0.10142459400231019,101.12486267089844,128,1262.021319967862,12.0,12.0
63,0.01270627323538065,0.00017434096662327647,0.10027106798952445,100.01347351074219,128,1276.5397094740474,12.0,12.0
64,0.00613025389611721,0.00019160303054377437,0.11247524397913367,112.20601654052734,128,1138.0282048887707,16.0,9.0
65,0.010417799465358257,7.267802720889449e-05,0.09909658203832805,98.96736145019531,128,1291.6691712988934,12.0,12.0
66,0.009969230741262436,0.000118674011901021,0.10128632100531831,101.06031799316406,128,1263.7441929920528,12.0,12.0
67,0.013319767080247402,0.00022780202561989427,0.10083734098589048,100.51686096191406,128,1269.3710360521131,12.0,12.0
68,0.0074500953778624535,7.040298078209162e-05,0.1001077980035916,99.96931457519531,128,1278.6216713647793,12.0,12.0
69,0.00795068871229887,5.787902045994997e-05,0.09856007498456165,98.4420166015625,128,1298.7003106486047,11.0,12.0
70,0.0065798526629805565,0.0001074940082617104,0.0986258290358819,98.44937896728516,128,1297.8344643717137,13.0,9.0
71,0.008852662518620491,4.697899566963315e-05,0.08973524300381541,89.5676498413086,128,1426.4183805080645,11.0,12.0
72,0.009938186965882778,0.0001929749851115048,0.10124999197432771,100.98079681396484,128,1264.1976310719594,12.0,12.0
73,0.009182966314256191,0.0001986970310099423,0.09972451202338561,99.45120239257812,128,1283.5359873205869,12.0,12.0
74,0.010344278067350388,0.00012275198241695762,0.10077261802507564,100.56912231445312,128,1270.1863116045001,11.0,12.0
75,0.008465699851512909,0.00019021000480279326,0.106497214990668,106.22927856445312,128,1201.9093645896394,17.0,9.0
76,0.00796933751553297,0.00021545798517763615,0.09577528800582513,95.46768188476562,128,1336.4616558732241,13.0,9.0
77,0.009358890354633331,0.00019363703904673457,0.10161716799484566,101.34188842773438,128,1259.629672089391,11.0,12.0
78,0.011982331052422523,0.0001859519979916513,0.10034171101870015,100.07564544677734,128,1275.6409941638858,13.0,9.0
79,0.00893156323581934,0.0001986370189115405,0.10914370999671519,108.86573028564453,128,1172.7657049943814,15.0,9.0
80,0.011246110312640667,6.055500125512481e-05,0.09874072700040415,98.54048156738281,128,1296.3242614111612,13.0,9.0
81,0.009708237834274769,5.884096026420593e-05,0.0976249139639549,97.46051025390625,128,1311.1407201573586,13.0,9.0
82,0.014035109430551529,6.75779883749783e-05,0.10137292498257011,101.2343978881836,128,1262.6645627716484,11.0,12.0
83,0.012607166543602943,0.00017494201892986894,0.1117016680072993,111.4464340209961,128,1145.9094773019474,16.0,9.0
84,0.01713257096707821,0.0001882470096461475,0.10086505301296711,100.58921813964844,128,1269.0222844927712,11.0,12.0
85,0.012807072140276432,0.00025122601073235273,0.10281614901032299,102.47235107421875,128,1244.940617131541,12.0,12.0
86,0.03220187872648239,5.2821007557213306e-05,0.09755367797333747,97.427490234375,128,1312.0981459559512,13.0,9.0
87,0.03215662017464638,0.000218925008084625,0.10146230401005596,101.18697357177734,128,1261.5522705586686,12.0,12.0
88,0.015098982490599155,8.354900637641549e-05,0.09955377801088616,99.39679718017578,128,1285.7372422973567,11.0,12.0
89,0.019781600683927536,5.804002285003662e-05,0.10058802802814171,100.44802856445312,128,1272.5172419543724,11.0,12.0
