epoch,total,flow,representation,mean_t,mean_s,mean_student_tau,mean_teacher_tau,harder_token_fraction,mask_fraction,velocity_target_rms,learning_rate,weight_decay,ema_momentum,seconds,samples,samples_per_second,peak_gpu_memory_gib,trainable_parameters
1,1.531312142998459,1.2903719694459608,0.9637607163288159,0.49978208113374506,0.49078459868912694,0.49753270850364445,0.33067565397844484,0.5048411590149849,0.25,1.1399721563835563,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,5.337014719028957,7901,1480.415628577758,5.9943952560424805,94080000
2,1.4128453586995036,1.2290656051368989,0.7351190147784945,0.5045575654864266,0.5020620581236478,0.5039336903685785,0.33558746670683853,0.5008543223659384,0.25,1.140014822264892,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,4.037735204969067,7901,1956.7900317674569,5.9943952560424805,94080000
3,1.2277995351446895,1.130599207567906,0.3888013113632849,0.4980707213088329,0.4979119345804149,0.4980310206548456,0.33107639180227344,0.5000949246025496,0.25,1.1399698488592513,1e-05,0.04008787618256704,0.9960009764020286,3.6978308140533045,7901,2136.658056386164,5.9943952560424805,94080000
4,1.1488812955447865,1.090694562224946,0.23274692608244643,0.49876479799800877,0.49702827978882513,0.4983306687521853,0.3312125290221707,0.5003480570683855,0.25,1.1399968325857903,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,4.330746641964652,7901,1824.3967272155398,5.9943952560424805,94080000
5,1.1307516116731424,1.083864410351144,0.18754877877860052,0.4979676711734315,0.5022783252977446,0.4990453368658477,0.3302951135781427,0.49832299694941323,0.25,1.1400001056434805,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,4.270593938999809,7901,1850.0939477871425,5.9943952560424805,94080000
6,1.1160273692710778,1.0790109771095548,0.14806557426632483,0.49564556914588315,0.5025075320321809,0.497361058989532,0.33236460655327915,0.49724718376120924,0.25,1.1400016214014412,2e-05,0.04035332043401019,0.9960039257826001,4.126184897031635,7901,1914.8439047615038,5.9943952560424805,94080000
7,1.0988911445224425,1.0696030098823728,0.11715254549315694,0.5053780259338908,0.5013585685778382,0.5043731645577588,0.3359296698613101,0.5022465507979031,0.25,1.1400213933356154,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,4.079994959989563,7901,1936.5220000223264,5.9943952560424805,94080000
8,1.077869649778935,1.0541877468059884,0.09472761505269624,0.4993250335021768,0.49730774447550097,0.4988207126053024,0.3322074745383659,0.5006011897529956,0.25,1.1400179931173262,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,4.440833485976327,7901,1779.1705149383567,5.9943952560424805,94080000
9,1.0579038959653329,1.036992000350619,0.08364758728697487,0.4994840880441237,0.5015451687904057,0.49999935898791686,0.3321895535317211,0.4981964307032934,0.25,1.1399792793686971,3e-05,0.040796073332543814,0.9960088452592505,4.112982554011978,7901,1920.9903996050332,5.9943952560424805,94080000
10,1.0263306810016677,1.0074937724867978,0.0753476115860919,0.5028230321209667,0.5026564890939124,0.5027813992610748,0.3354463555732568,0.4985128463959184,0.25,1.1400012859527469,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,4.0612915540114045,7901,1945.4402361721734,5.9943952560424805,94080000
11,0.9822238230234519,0.9655869495505065,0.06654749968552526,0.49978208113374506,0.49078459868912694,0.49753270850364445,0.33067565397844484,0.5048411590149849,0.25,1.1399659293767033,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,4.240378576971125,7901,1863.277029770213,5.9943952560424805,94080000
12,0.937086314132675,0.9221833487082668,0.059611876619539594,0.5045575654864266,0.5020620581236478,0.5039336903685785,0.33558746670683853,0.5008543223659384,0.25,1.1400330616483023,4e-05,0.04141569788752825,0.9960157299765281,4.098544966022018,7901,1927.7573054587183,5.9943952560424805,94080000
13,0.9041175912670086,0.8914151234108351,0.050809852112216176,0.4980707213088329,0.4979119345804149,0.4980310206548456,0.33107639180227344,0.5000949246025496,0.25,1.1399629242192972,4.3333333333333334e-05,0.04166144353469042,0.9960184604837188,4.083867468987592,7901,1934.6857017274099,5.9943952560424805,94080000
14,0.8852493686927088,0.8741091414352502,0.04456090376416636,0.49876479799800877,0.49702827978882513,0.4983306687521853,0.3312125290221707,0.5003480570683855,0.25,1.1399910230000492,4.6666666666666665e-05,0.04192674811729752,0.9960214083124144,4.159212968021166,7901,1899.6382394333295,5.9943952560424805,94080000
15,0.8765745727627537,0.8666917047550702,0.03953146597295302,0.4979676711734315,0.5022783252977446,0.4990453368658477,0.3302951135781427,0.49832299694941323,0.25,1.1400215289152478,5e-05,0.04221158253858376,0.9960245731393176,4.2392094759852625,7901,1863.7908894944799,5.9943952560424805,94080000
16,0.8683803040247117,0.8592771834594481,0.03641248928445937,0.49564556914588315,0.5025075320321809,0.497361058989532,0.33236460655327915,0.49724718376120924,0.25,1.1400029461620096,5.333333333333334e-05,0.04251591555988615,0.9960279546173321,4.113641257979907,7901,1920.6827976730178,5.9943952560424805,94080000
17,0.8638812714763087,0.8552386321126472,0.03457055482181201,0.5053780259338908,0.5013585685778382,0.5043731645577588,0.3359296698613101,0.5022465507979031,0.25,1.140024387569401,5.666666666666667e-05,0.042839713804070534,0.9960315523756008,4.512904841976706,7901,1750.757057075298,5.9943952560424805,94080000
18,0.8608767815653756,0.8528571028963492,0.03207873152926095,0.4993250335021768,0.49730774447550097,0.4988207126053024,0.3322074745383659,0.5006011897529956,0.25,1.1400092410793818,6e-05,0.043182941759192184,0.9960353660195466,4.112624826026149,7901,1921.157492898372,5.9943952560424805,94080000
19,0.8587925802030347,0.8508661300407876,0.031705796786492844,0.4994840880441237,0.5015451687904057,0.49999935898791686,0.3321895535317211,0.4981964307032934,0.25,1.1399947361257496,6.333333333333333e-05,0.04354556178239066,0.9960393951309154,4.54189855104778,7901,1739.580906794429,5.9943952560424805,94080000
20,0.8571363383192848,0.8493362796893529,0.031200226266660837,0.5028230321209667,0.5026564890939124,0.5027813992610748,0.3354463555732568,0.4985128463959184,0.25,1.1400124173785384,6.666666666666667e-05,0.04392753410401784,0.9960436392678225,4.114348845032509,7901,1920.3524780207524,5.9943952560424805,94080000
21,0.8546529707162083,0.8470957661456601,0.03022880959157747,0.49978208113374506,0.49078459868912694,0.49753270850364445,0.33067565397844484,0.5048411590149849,0.25,1.1399659293767033,7.000000000000001e-05,0.044328816831999796,0.9960480979648,4.111856981005985,7901,1921.5162483756872,5.9943952560424805,94080000
22,0.8528124968728873,0.8451624714397294,0.030600116918576153,0.5045575654864266,0.5020620581236478,0.5039336903685785,0.33558746670683853,0.5008543223659384,0.25,1.1400330616483023,7.333333333333333e-05,0.044749365956431364,0.9960527707328493,4.033850981038995,7901,1958.674238869614,5.9943952560424805,94080000
23,0.8509601866153355,0.843463891511506,0.029985181644979483,0.4980707213088329,0.4979119345804149,0.4980310206548456,0.33107639180227344,0.5000949246025496,0.25,1.1399629242192972,7.666666666666667e-05,0.045189135354402554,0.9960576570594933,4.489496778987814,7901,1759.8854368220154,5.9943952560424805,94080000
24,0.850180572708141,0.8426641867954721,0.03006552310853559,0.49876479799800877,0.49702827978882513,0.4983306687521853,0.3312125290221707,0.5003480570683855,0.25,1.1399910230000492,8e-05,0.045648076795057335,0.996062756408834,4.06037230900256,7901,1945.8806726866137,5.9943952560424805,94080000
25,0.8485839169563455,0.8410893443973286,0.029978279176655787,0.4979676711734315,0.5022783252977446,0.4990453368658477,0.3302951135781427,0.49832299694941323,0.25,1.1400215289152478,8.333333333333333e-05,0.04612613994488268,0.9960680682216098,4.204584262974095,7901,1879.139412088096,5.9943952560424805,94080000
26,0.8490230870569768,0.8414096110094319,0.03045389313076798,0.49564556914588315,0.5025075320321809,0.497361058989532,0.33236460655327915,0.49724718376120924,0.25,1.1400029461620096,8.666666666666667e-05,0.04662327237322972,0.9960735919152581,4.278934147034306,7901,1846.4878702272429,5.9943952560424805,94080000
27,0.847153800572795,0.8393865567629073,0.031068986827037768,0.5053780259338908,0.5013585685778382,0.5043731645577588,0.3359296698613101,0.5022465507979031,0.25,1.140024387569401,9e-05,0.047139419558062945,0.9960793268839785,4.114680256985594,7901,1920.1978055491136,5.9943952560424805,94080000
28,0.8453014443274043,0.8376698180054308,0.0305264992301124,0.4993250335021768,0.49730774447550097,0.4988207126053024,0.3322074745383659,0.5006011897529956,0.25,1.1400092410793818,9.333333333333333e-05,0.04767452489194052,0.9960852724987993,4.045737600012217,7901,1952.9195368419696,5.9943952560424805,94080000
29,0.8448620710685546,0.8370934679619558,0.03107441023110951,0.4994840880441237,0.5015451687904057,0.49999935898791686,0.3321895535317211,0.4981964307032934,0.25,1.1399947361257496,9.666666666666668e-05,0.04822852968822233,0.996091428107647,4.478609216981567,7901,1764.1637430749113,5.9943952560424805,94080000
30,0.8441533321233479,0.836340276082397,0.03125224154503372,0.5028230321209667,0.5026564890939124,0.5027813992610748,0.3354463555732568,0.4985128463959184,0.25,1.1400124173785384,0.0001,0.048801373187506436,0.9960977930354168,4.087149548984598,7901,1933.1321022894563,5.9943952560424805,94080000
31,0.8422883247638138,0.8346191290933381,0.030676785050698617,0.49978208113374506,0.49078459868912694,0.49753270850364445,0.33067565397844484,0.5048411590149849,0.25,1.1399659293767033,9.999675607461392e-05,0.04939299256429247,0.9961043665840477,4.049848783004563,7901,1950.9370407006372,5.9943952560424805,94080000
32,0.8410475568641003,0.8332498547337113,0.031190799393392546,0.5045575654864266,0.5020620581236478,0.5039336903685785,0.33558746670683853,0.5008543223659384,0.25,1.1400330616483023,9.998681115190574e-05,0.050003322933872385,0.9961111480325986,4.482223850034643,7901,1762.741055411352,5.9943952560424805,94080000
33,0.8401699770690368,0.8325200154877602,0.030599853084473924,0.4980707213088329,0.4979119345804149,0.4980310206548456,0.33107639180227344,0.5000949246025496,0.25,1.1399629242192972,9.997016570662151e-05,0.050632297359445966,0.9961181366373272,4.116069686016999,7901,1919.5496195900337,5.9943952560424805,94080000
34,0.838918501924011,0.8312525944896264,0.03066361788601351,0.49876479799800877,0.49702827978882513,0.4983306687521853,0.3312125290221707,0.5003480570683855,0.25,1.1399910230000492,9.994682199255739e-05,0.05127984685946252,0.9961253316317717,4.460387440980412,7901,1771.3707843871355,5.9943952560424805,94080000
35,0.8383982373466825,0.8308297502528322,0.030273936523876378,0.4979676711734315,0.5022783252977446,0.4990453368658477,0.3302951135781427,0.49832299694941323,0.25,1.1400215289152478,9.991678317045618e-05,0.051945900415185986,0.9961327322268354,4.107786652981304,7901,1923.4202424475234,5.9943952560424805,94080000
36,0.837765493531451,0.8301913823798975,0.030296446537461528,0.49564556914588315,0.5025075320321809,0.497361058989532,0.33236460655327915,0.49724718376120924,0.25,1.1400029461620096,9.988005330757945e-05,0.05263038497848388,0.9961403376108721,4.507071043015458,7901,1753.0231772680984,5.9943952560424805,94080000
