epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,invariance_loss,sigreg_loss,logical_views
1,6305,19.42850720579736,324.52313156198755,4.904904904904905e-05,0.05,12.248737812042236,3.8900368979013127,11.748745409256877,0.3751686939070094,175.72999603489293,8.0
2,6305,18.192132325144485,346.5783937425227,9.90990990990991e-05,0.05,12.248737812042236,1.9457367116548445,4.508425469912772,0.665044309675079,64.03922482157019,8.0
3,6305,18.074770177947357,348.82877834278617,9.926669149154581e-05,0.05,12.248737812042236,1.6496420351973042,3.3475371646654217,0.7177789827928385,46.59039452815226,8.0
4,6305,18.034937829943374,349.5992090159479,9.703521798576152e-05,0.05,12.248737812042236,1.4531624440727113,2.6071798933393704,0.6966491313419296,37.81563243457573,8.0
5,6305,18.52054706402123,340.4327085050501,9.337327015150029e-05,0.05,12.248737812042236,1.3505649533846567,2.5150722216652275,0.6853411179606069,33.26101308485329,8.0
6,6305,18.591392517089844,339.1354356164676,8.839233672061644e-05,0.05,12.248737812042236,1.2623490152994288,2.3012653840145925,0.6701444777300394,29.608901665344963,8.0
7,6305,19.012320764828473,331.6270579478035,8.224406320440445e-05,0.05,12.248737812042236,1.1993190282587964,2.109663104235795,0.6549655824781504,27.20704302141158,8.0
8,6305,18.739178454037756,336.46085475222384,7.511563501577567e-05,0.05,12.248737812042236,1.154724367888176,2.140360956207142,0.649085712905539,25.282836042823156,8.0
9,6305,18.949783312156796,332.72148267548647,6.722407857204535e-05,0.05,12.248737812042236,1.1030595892294355,1.9153692876791595,0.6331733382381587,23.482895519429025,8.0
10,6305,18.962102393852547,332.5053239900266,5.8809653882391326e-05,0.05,12.248737812042236,1.0686244477174474,1.9302496247401226,0.627430240432957,22.052304718477398,8.0
11,6305,18.715126148890704,336.89326750136354,5.012853978397685e-05,0.05,12.248737812042236,1.0343314609671281,1.8687809572439171,0.613728852786307,21.03773295003965,8.0
12,6305,18.86684413184412,334.18413572189326,4.144503452618164e-05,0.05,12.248737812042236,1.0050224201250038,1.7810885512573582,0.5999591642764709,20.251794210943697,8.0
13,6305,19.048992278054357,330.98863750728475,3.3023509157709435e-05,0.05,12.248737812042236,0.9928554933662929,1.8001791751734517,0.5981680398323912,19.729688739095955,8.0
14,6305,18.82998432405293,334.83830318149325,2.512035869730567e-05,0.05,12.248737812042236,0.9708354127870298,1.7521513635822934,0.5866158418859593,19.212004361617765,8.0
15,6305,19.01713834796101,331.54304736264453,1.797619613629721e-05,0.05,12.248737812042236,0.9580771798089229,1.7543912400337176,0.5827585772613416,18.767505947660588,8.0
16,6305,18.98843895108439,332.0441462429925,1.1808526928103131e-05,0.05,12.248737812042236,0.9442148333405049,1.7293648466243337,0.5759311206372932,18.418452616970658,8.0
17,6305,19.026745612034574,331.37563977373173,6.8051269913439196e-06,0.05,12.248737812042236,0.9367567674873558,1.683710951960153,0.5710989314445326,18.28404044409199,8.0
18,6305,19.032253764104098,331.2797358708817,3.118325834564302e-06,0.05,12.248737812042236,0.9336137686619014,1.6472183689628679,0.5701457249465961,18.171480967486122,8.0
19,6305,18.78373005799949,335.6628305736787,8.603688539774059e-07,0.05,12.248737812042236,0.9247163283739839,1.6366666306587176,0.5665142101394478,17.912965900079303,8.0
20,6305,19.1605299890507,329.0618789565318,1.0000000000000001e-07,0.05,12.248737812042236,0.9304754868846957,1.6248577761328664,0.5666825676985339,18.184496431403648,8.0
