learning_rate,is_source_value,status,best_epoch,best_validation_linear_macro_f1,error,simplex_components
0.0001,False,completed,15,0.49710536433648567,,2
0.0005,True,completed,20,0.4998903550485655,,2
0.001,False,completed,15,0.37693976504045157,,2
0.0001,False,completed,15,0.47506963695711424,,4
0.0005,True,completed,20,0.5080264929605299,,4
0.001,False,completed,15,0.4511669726276096,,4
0.0001,False,completed,15,0.48363623117430427,,8
0.0005,True,completed,20,0.5257072775715931,,8
0.001,False,completed,5,0.3930762377310156,,8
0.0001,False,completed,15,0.4943401220290131,,16
0.0005,True,completed,20,0.49931664060093656,,16
0.001,False,completed,20,0.39471799762155435,,16
0.0001,False,completed,20,0.5020320274924552,,32
0.0005,True,completed,15,0.5148488805177525,,32
0.001,False,completed,15,0.3765738167186333,,32
0.0001,False,completed,20,0.45303652296158586,,64
0.0005,True,completed,20,0.49426179362094674,,64
0.001,False,completed,5,0.389039826644666,,64
