fold,sample_index,tissue_label,class_id,split
3,1477,Bile-duct,1,train
2,131,Breast,3,train
1,2363,Prostate,13,test
1,142,Breast,3,train
2,2220,Prostate,13,val
1,1816,Cervix,4,train
2,1688,Colon,5,train
1,1769,Cervix,4,train
3,1612,Breast,3,train
2,321,Breast,3,train
2,1450,Bile-duct,1,train
3,278,Breast,3,train
2,2321,Stomach,15,val
1,45,Breast,3,train
1,1542,Adrenal_gland,0,train
2,153,Breast,3,train
2,2356,Testis,16,train
2,1691,Colon,5,train
2,1343,Adrenal_gland,0,train
2,2488,Colon,5,train
1,34,Breast,3,train
2,499,Breast,3,test
3,1941,Colon,5,train
2,1781,Colon,5,train
2,1087,Esophagus,6,train
2,115,Breast,3,train
2,2513,Colon,5,train
2,830,Prostate,13,train
3,2697,Colon,5,train
1,730,Breast,3,train
1,2174,Kidney,8,val
2,849,Colon,5,train
1,1345,Cervix,4,test
3,1317,Bile-duct,1,train
3,1752,Colon,5,train
2,2260,Skin,14,val
2,1826,Esophagus,6,train
2,1145,Pancreatic,12,val
1,2612,Colon,5,val
2,1858,HeadNeck,7,train
3,2441,Stomach,15,val
3,2717,Colon,5,train
1,377,Breast,3,train
1,849,Colon,5,train
1,1315,Adrenal_gland,0,train
3,1301,Testis,16,val
1,701,Breast,3,train
2,65,Breast,3,train
3,151,Breast,3,train
3,1277,Bile-duct,1,test
2,487,Breast,3,train
1,819,Colon,5,train
2,2508,Colon,5,train
1,2655,Colon,5,train
3,674,Breast,3,train
3,1205,Pancreatic,12,val
1,760,Colon,5,train
3,2476,Testis,16,val
1,1353,Cervix,4,test
2,1116,Adrenal_gland,0,train
3,84,Breast,3,train
3,1361,Colon,5,train
2,1321,Colon,5,train
3,1906,Colon,5,train
3,54,Breast,3,train
1,2642,Colon,5,train
3,2586,Uterus,18,train
3,2404,Skin,14,train
1,1206,Adrenal_gland,0,test
2,1549,Breast,3,train
2,969,Cervix,4,train
3,1851,Colon,5,train
1,493,Breast,3,val
3,851,Bladder,2,val
3,1401,Adrenal_gland,0,train
2,1981,HeadNeck,7,train
3,988,Uterus,18,train
3,1052,Esophagus,6,test
2,392,Breast,3,train
3,1220,Adrenal_gland,0,train
2,1430,Bile-duct,1,train
